Time,Open,High,Low,Last,Change,Volume
3/2/2020 19:00,81.221,81.222,81.026,81.044,-0.178,4520
3/2/2020 18:00,81.433,81.433,81.166,81.222,-0.21,12039
3/2/2020 17:00,81.187,81.448,81.176,81.432,0.247,10233
3/2/2020 16:00,81.264,81.264,80.944,81.185,-0.086,3396
3/2/2020 15:00,81.304,81.348,81.167,81.271,-0.032,9279
3/2/2020 14:00,80.753,81.36,80.751,81.303,0.549,17368
3/2/2020 13:00,80.871,80.995,80.712,80.754,-0.118,15927
3/2/2020 12:00,80.775,80.877,80.644,80.872,0.097,16535
3/2/2020 11:00,80.998,81.044,80.752,80.775,-0.223,20332
3/2/2020 10:00,80.593,81.042,80.533,80.998,0.405,24427
3/2/2020 9:00,80.462,80.681,80.328,80.593,0.13,24791
3/2/2020 8:00,80.482,80.593,80.39,80.463,-0.018,23112
3/2/2020 7:00,80.72,80.753,80.403,80.481,-0.238,21588
3/2/2020 6:00,80.382,80.736,80.379,80.719,0.337,20282
3/2/2020 5:00,80.653,80.678,80.352,80.382,-0.271,19365
3/2/2020 4:00,80.829,80.887,80.653,80.653,-0.175,17118
3/2/2020 3:00,81.078,81.159,80.74,80.828,-0.249,20727
3/2/2020 2:00,81.259,81.345,81.074,81.077,-0.182,22545
3/2/2020 1:00,81.13,81.389,81.052,81.259,0.128,19075
3/2/2020 0:00,81.13,81.211,81.074,81.131,0.001,12298
3/1/2020 23:00,80.994,81.137,80.94,81.13,0.135,9376
3/1/2020 22:00,81.062,81.136,80.945,80.995,-0.067,11801
3/1/2020 21:00,81.082,81.232,81.032,81.062,-0.019,13390
3/1/2020 20:00,80.662,81.14,80.549,81.081,0.419,15441
3/1/2020 19:00,80.277,80.841,80.261,80.662,0.383,15498
3/1/2020 18:00,80.311,80.467,80.239,80.279,-0.033,4502
3/1/2020 17:00,79.892,80.336,79.891,80.312,0.419,4558
3/1/2020 16:00,79.901,80.22,79.893,79.893,-0.007,1850
3/1/2020 15:00,79.867,79.92,79.841,79.9,-0.533,427
2/28/2020 15:00,80.35,80.69,80.344,80.433,0.085,11040
2/28/2020 14:00,80.461,80.473,80.14,80.348,-0.113,21477
2/28/2020 13:00,80.457,80.576,80.321,80.461,0.003,24533
2/28/2020 12:00,80.516,80.642,80.421,80.458,-0.058,22156
2/28/2020 11:00,80.623,80.693,80.507,80.516,-0.107,25412
2/28/2020 10:00,80.399,80.924,80.282,80.623,0.224,28190
2/28/2020 9:00,80.656,80.666,80.244,80.399,-0.258,26536
2/28/2020 8:00,80.657,80.803,80.587,80.657,0,24253
2/28/2020 7:00,80.793,80.9,80.58,80.657,-0.135,21820
2/28/2020 6:00,80.789,80.921,80.683,80.792,0.007,19352
2/28/2020 5:00,80.801,80.897,80.736,80.785,-0.015,18174
2/28/2020 4:00,80.827,80.931,80.752,80.8,-0.028,20016
2/28/2020 3:00,80.831,80.845,80.656,80.828,-0.003,22772
2/28/2020 2:00,80.958,81.085,80.796,80.831,-0.128,25487
2/28/2020 1:00,81.061,81.161,80.917,80.959,-0.102,20170
