Time,Open,High,Low,Last,Change,Volume,Open Int
3/2/2020 19:00,48.26,48.55,48.24,48.31,0.05,14477,N/A
3/2/2020 18:00,47.93,48.29,47.84,48.26,0.34,11612,N/A
3/2/2020 17:00,47.72,47.94,47.56,47.92,0.4,8381,N/A
3/2/2020 15:00,47.38,47.56,47.33,47.52,0.14,6446,N/A
3/2/2020 14:00,46.72,47.4,46.7,47.38,0.66,18907,N/A
3/2/2020 13:00,46.95,47.14,46.45,46.72,-0.23,50817,N/A
3/2/2020 12:00,47.09,47.14,46.67,46.95,-0.14,38591,N/A
3/2/2020 11:00,47,47.3,46.75,47.09,0.1,54689,N/A
3/2/2020 10:00,46.22,47.24,45.95,46.99,0.76,97061,N/A
3/2/2020 9:00,45.81,46.37,45.61,46.23,0.42,82810,N/A
3/2/2020 8:00,46.03,46.29,45.57,45.81,-0.22,87263,N/A
3/2/2020 7:00,45.57,46.05,45.27,46.03,0.47,47589,N/A
3/2/2020 6:00,44.91,45.64,44.91,45.56,0.65,40237,N/A
3/2/2020 5:00,45.32,45.45,44.85,44.91,-0.42,37847,N/A
3/2/2020 4:00,45.71,45.72,45.31,45.33,-0.38,27275,N/A
3/2/2020 3:00,46.24,46.25,45.61,45.71,-0.53,30110,N/A
3/2/2020 2:00,46.31,46.71,46.22,46.24,-0.08,39763,N/A
3/2/2020 1:00,45.92,46.35,45.7,46.32,0.41,21122,N/A
3/2/2020 0:00,46.17,46.21,45.86,45.91,-0.27,9646,N/A
3/1/2020 23:00,46.08,46.18,45.92,46.18,0.1,8386,N/A
3/1/2020 22:00,46.15,46.23,46.02,46.08,-0.06,8748,N/A
3/1/2020 21:00,46.14,46.42,46.02,46.14,0,15487,N/A
3/1/2020 20:00,45.13,46.42,45.07,46.14,1.01,27388,N/A
3/1/2020 19:00,44.48,45.64,44.47,45.13,0.66,38276,N/A
3/1/2020 18:00,44.59,44.97,44.43,44.47,-0.13,13162,N/A
3/1/2020 17:00,43.7,44.7,43.32,44.6,-0.66,23633,N/A
2/28/2020 15:00,45.26,45.4,45.06,45.26,0,8129,N/A
2/28/2020 14:00,45.24,45.27,44.94,45.26,0.03,18822,N/A
2/28/2020 13:00,44.79,45.38,44.61,45.23,0.44,63141,N/A
2/28/2020 12:00,44.93,44.94,44.33,44.79,-0.13,56931,N/A
2/28/2020 11:00,44.72,45.12,44.51,44.92,0.21,59065,N/A
2/28/2020 10:00,44.18,45.17,43.85,44.71,0.53,130866,N/A
2/28/2020 9:00,45.06,45.15,44.14,44.18,-0.89,131424,N/A
2/28/2020 8:00,45.48,45.55,44.83,45.07,-0.42,98871,N/A
2/28/2020 7:00,45.75,45.84,45.22,45.49,-0.26,44817,N/A
2/28/2020 6:00,45.79,46.03,45.55,45.75,-0.04,32029,N/A
2/28/2020 5:00,45.34,45.94,45.26,45.79,0.45,43130,N/A
2/28/2020 4:00,45.27,45.61,45.04,45.34,0.07,32645,N/A
2/28/2020 3:00,45.79,45.82,44.95,45.27,-0.52,50674,N/A
2/28/2020 2:00,45.8,46.04,45.57,45.79,-0.01,49407,N/A
2/28/2020 1:00,45.64,45.84,45.5,45.8,0.15,26059,N/A
2/28/2020 0:00,45.59,45.71,45.45,45.65,0.06,16530,N/A
2/27/2020 23:00,45.75,45.81,45.51,45.59,-0.16,16669,N/A
2/27/2020 22:00,45.93,46.02,45.73,45.75,-0.18,11936,N/A
2/27/2020 21:00,46.3,46.34,45.69,45.93,-0.36,22986,N/A
2/27/2020 20:00,46.49,46.59,46.23,46.29,-0.21,10035,N/A
2/27/2020 19:00,46.54,46.59,46.2,46.5,-0.05,14334,N/A
2/27/2020 18:00,46.8,46.94,46.4,46.55,-0.25,8221,N/A
2/27/2020 17:00,46.49,47.03,46.06,46.8,0.46,12971,N/A
2/27/2020 15:00,46.71,46.83,46.17,46.34,-0.37,10522,N/A
2/27/2020 14:00,46.94,47.12,46.69,46.71,-0.23,21439,N/A
2/27/2020 13:00,46.63,47.25,46.54,46.94,0.28,55904,N/A
2/27/2020 12:00,47.32,47.52,46.48,46.66,-0.67,72371,N/A
2/27/2020 11:00,47.02,47.74,46.93,47.33,0.31,85038,N/A
2/27/2020 10:00,46.72,47.11,46.35,47.02,0.31,110358,N/A
2/27/2020 9:00,46.42,46.73,45.88,46.71,0.29,101581,N/A
